booking_id,stays_in_weekend_nights,stays_in_week_nights,lead_time,arrival_year,arrival_month,arrival_date_day_of_month,market_segment_type,avg_price_per_room,booking_status,hotel,country,email,arrival_date_week_number
INN00001,1,2,224,2017,10,2,Offline,65.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00002,2,3,5,2018,11,6,Online,106.68,Not_Canceled,Unknown,Unknown,Unknown,
INN00003,2,1,1,2018,2,28,Online,60.0,Canceled,Unknown,Unknown,Unknown,
INN00004,0,2,211,2018,5,20,Online,100.0,Canceled,Unknown,Unknown,Unknown,
INN00005,1,1,48,2018,4,11,Online,94.5,Canceled,Unknown,Unknown,Unknown,
INN00006,0,2,346,2018,9,13,Online,115.0,Canceled,Unknown,Unknown,Unknown,
INN00007,1,3,34,2017,10,15,Online,107.55,Not_Canceled,Unknown,Unknown,Unknown,
INN00008,1,3,83,2018,12,26,Online,105.61,Not_Canceled,Unknown,Unknown,Unknown,
INN00009,0,4,121,2018,7,6,Offline,96.9,Not_Canceled,Unknown,Unknown,Unknown,
INN00010,0,5,44,2018,10,18,Online,133.44,Not_Canceled,Unknown,Unknown,Unknown,
INN00011,1,0,0,2018,9,11,Online,85.03,Not_Canceled,Unknown,Unknown,Unknown,
INN00012,2,1,35,2018,4,30,Online,140.4,Not_Canceled,Unknown,Unknown,Unknown,
INN00013,2,1,30,2018,11,26,Online,88.0,Canceled,Unknown,Unknown,Unknown,
INN00014,2,0,95,2018,11,20,Online,90.0,Canceled,Unknown,Unknown,Unknown,
INN00015,0,2,47,2017,10,20,Online,94.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00016,0,2,256,2018,6,15,Online,115.0,Canceled,Unknown,Unknown,Unknown,
INN00017,1,0,0,2017,10,5,Offline,96.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00018,1,3,1,2017,8,10,Online,96.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00019,2,2,99,2017,10,30,Online,65.0,Canceled,Unknown,Unknown,Unknown,
INN00020,1,0,12,2017,10,4,Offline,72.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00021,2,2,99,2017,10,30,Online,65.0,Canceled,Unknown,Unknown,Unknown,
INN00022,0,1,122,2018,11,25,Corporate,67.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00023,2,4,2,2018,3,20,Offline,85.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00024,0,3,37,2018,10,13,Offline,105.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00025,2,1,130,2018,5,22,Online,94.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00026,0,2,99,2018,4,28,Online,114.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00027,1,1,60,2017,9,21,Offline,65.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00028,0,2,2,2018,5,19,Aviation,110.0,Canceled,Unknown,Unknown,Unknown,
INN00029,1,2,37,2017,11,6,Online,37.33,Canceled,Unknown,Unknown,Unknown,
INN00030,0,2,56,2017,9,17,Offline,82.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00031,1,1,3,2017,9,19,Online,177.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00032,2,2,107,2018,11,13,Online,87.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00033,0,3,56,2018,12,7,Online,82.44,Not_Canceled,Unknown,Unknown,Unknown,
INN00034,0,1,2,2018,1,9,Online,69.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00035,0,2,72,2018,10,7,Offline,85.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00036,0,1,23,2018,4,27,Online,115.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00037,2,1,34,2018,6,19,Online,81.0,Canceled,Unknown,Unknown,Unknown,
INN00038,0,1,289,2017,10,17,Offline,67.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00039,2,3,247,2018,11,19,Online,63.75,Canceled,Unknown,Unknown,Unknown,
INN00040,2,1,186,2018,7,30,Online,121.8,Canceled,Unknown,Unknown,Unknown,
INN00041,0,4,64,2018,11,1,Online,93.6,Not_Canceled,Unknown,Unknown,Unknown,
INN00042,0,2,35,2018,6,21,Online,102.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00043,2,1,96,2018,4,10,Online,121.8,Not_Canceled,Unknown,Unknown,Unknown,
INN00044,1,1,41,2018,6,27,Online,98.1,Canceled,Unknown,Unknown,Unknown,
INN00045,0,4,55,2017,11,18,Offline,60.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00046,0,3,146,2017,12,29,Offline,75.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00047,0,2,32,2017,11,20,Offline,73.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00048,0,1,55,2018,4,6,Offline,104.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00049,0,4,57,2018,11,1,Online,79.2,Not_Canceled,Unknown,Unknown,Unknown,
INN00050,1,3,7,2018,12,29,Online,125.8,Not_Canceled,Unknown,Unknown,Unknown,
INN00051,2,5,124,2018,5,30,Online,87.95,Not_Canceled,Unknown,Unknown,Unknown,
INN00052,2,2,169,2018,4,22,Online,106.0,Canceled,Unknown,Unknown,Unknown,
INN00053,1,2,6,2018,5,16,Online,136.67,Not_Canceled,Unknown,Unknown,Unknown,
INN00054,0,4,51,2017,11,11,Offline,60.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00055,1,0,13,2018,6,13,Online,89.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00056,1,3,100,2018,5,19,Online,136.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00057,0,1,139,2018,7,28,Online,94.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00058,1,2,117,2018,12,26,Online,93.6,Not_Canceled,Unknown,Unknown,Unknown,
INN00059,1,4,39,2018,4,20,Online,120.6,Canceled,Unknown,Unknown,Unknown,
INN00060,0,3,86,2018,4,6,Online,99.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00061,0,1,2,2018,9,2,Online,258.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00062,0,3,19,2018,5,3,Online,120.12,Not_Canceled,Unknown,Unknown,Unknown,
